id,title,top_words
210679,"{climat, chang, impact}","['climat', 'chang', 'impact', 'human', 'global', 'increas', 'affect', 'futur', 'food', 'mitig']"
210681,"{malaria, transmiss, falciparum}","['malaria', 'transmiss', 'falciparum', 'plasmodium', 'vivax', 'parasit', 'rainfal', 'control', 'africa', 'elimin']"
210684,"{factor, environment, preval}","['factor', 'environment', 'preval', 'associ', 'socioeconom', 'influenc', 'studi', 'determin', 'meteorolog', 'identifi']"
210687,"{emiss, reduct, nox}","['emiss', 'reduct', 'nox', 'sourc', 'transport', 'reduc', 'polici', 'energi', 'benefit', 'sector']"
210690,"{admiss, hospit, respiratori}","['admiss', 'hospit', 'respiratori', 'pneumonia', 'associ', 'due', 'cardiovascular', 'cvd', 'daili', 'rate']"
210694,"{concentr, particl, particul}","['concentr', 'particl', 'particul', 'matter', 'site', 'mass', 'measur', 'averag', 'monitor', 'dure']"
210697,"{hfmd, mouth, foot}","['hfmd', 'mouth', 'foot', 'hand', 'china', 'diseas', 'childhood', 'meteorolog', 'factor', 'humid']"
210700,"{day, daili, associ}","['day', 'daili', 'associ', 'dure', 'period', 'number', 'increas', 'mean', 'befor', 'signific']"
210703,"{extrem, event, weather}","['extrem', 'event', 'weather', 'precipit', 'frequenc', 'drought', 'impact', 'increas', 'condit', 'dure']"
210707,"{stroke, ischem, hemorrhag}","['stroke', 'ischem', 'hemorrhag', 'subtyp', 'onset', 'associ', 'cerebrovascular', 'heart', 'interv', 'odd']"
210710,"{children, age, year}","['children', 'age', 'year', 'group', 'preval', 'among', 'old', 'older', 'child', 'school']"
210713,"{ozon, concentr, ppb}","['ozon', 'concentr', 'ppb', 'nox', 'nitrogen', 'surfac', 'dioxid', 'tropospher', 'precursor', 'groundlevel']"
210717,"{disast, prepared, natur}","['disast', 'prepared', 'natur', 'communiti', 'respons', 'manag', 'resili', 'emerg', 'respond', 'affect']"
210719,"{dust, storm, sourc}","['dust', 'storm', 'sourc', 'desert', 'event', 'aerosol', 'particul', 'asian', 'cardiovascular', 'particl']"
210723,"{death, excess, caus}","['death', 'excess', 'caus', 'estim', 'attribut', 'rate', 'prematur', 'year', 'number', 'popul']"
210726,"{exposur, associ, estim}","['exposur', 'associ', 'estim', 'ambient', 'increas', 'adjust', 'shortterm', 'studi', 'use', 'person']"
210730,"{month, rainfal, averag}","['month', 'rainfal', 'averag', 'mean', 'period', 'variabl', 'januari', 'precipit', 'trend', 'juli']"
210733,"{citi, plan, new}","['citi', 'plan', 'new', 'level', 'cityspecif', 'transport', 'york', 'capit', 'data', 'local']"
210702,"{case, report, number}","['case', 'report', 'number', 'leptospirosi', 'year', 'occur', 'surveil', 'confirm', 'outbreak', 'infect']"
210715,"{suicid, rate, associ}","['suicid', 'rate', 'associ', 'men', 'attempt', 'women', 'studi', 'irr', 'sunshin', 'male']"
210724,"{household, rural, food}","['household', 'rural', 'food', 'fuel', 'stove', 'cook', 'survey', 'energi', 'livelihood', 'incom']"
210677,"{correl, humid, posit}","['correl', 'humid', 'posit', 'relat', 'rainfal', 'negat', 'signific', 'temperatur', 'variabl', 'maximum']"
210678,"{dengu, fever, outbreak}","['dengu', 'fever', 'outbreak', 'epidem', 'transmiss', 'virus', 'rainfal', 'vector', 'denv', 'control']"
210680,"{heat, stress, heatrel}","['heat', 'stress', 'heatrel', 'worker', 'wbgt', 'index', 'thermal', 'ill', 'summer', 'work']"
210682,"{wave, heat, intens}","['wave', 'heat', 'intens', 'dure', 'definit', 'durat', 'frequenc', 'period', 'excess', 'defin']"
210683,"{mortal, cardiovascular, allcaus}","['mortal', 'cardiovascular', 'allcaus', 'rate', 'respiratori', 'excess', 'daili', 'nonaccident', 'estim', 'increas']"
210685,"{lag, effect, nonlinear}","['lag', 'effect', 'nonlinear', 'week', 'associ', 'model', 'cumul', 'china', 'distribut', 'relat']"
210686,"{patient, acut, medic}","['patient', 'acut', 'medic', 'diabet', 'clinic', 'studi', 'age', 'admit', 'number', 'retrospect']"
210689,"{model, predict, forecast}","['model', 'predict', 'forecast', 'use', 'variabl', 'data', 'estim', 'develop', 'regress', 'base']"
210691,"{pollen, allergen, airborn}","['pollen', 'allergen', 'airborn', 'allergi', 'count', 'concentr', 'allerg', 'type', 'tree', 'meteorolog']"
210693,"{health, public, polici}","['health', 'public', 'polici', 'impact', 'review', 'system', 'research', 'environment', 'cobenefit', 'outcom']"
210695,"{influenza, epidem, virus}","['influenza', 'epidem', 'virus', 'activ', 'week', 'vaccin', 'pandem', 'surveil', 'temper', 'transmiss']"
210696,"{flood, dysenteri, leptospirosi}","['flood', 'dysenteri', 'leptospirosi', 'event', 'sever', 'impact', 'infecti', 'diarrhea', 'river', 'affect']"
210699,"{urban, area, uhi}","['urban', 'area', 'uhi', 'rural', 'island', 'land', 'green', 'popul', 'surfac', 'site']"
210701,"{spatial, region, cluster}","['spatial', 'region', 'cluster', 'area', 'china', 'distribut', 'provinc', 'spatiotempor', 'geograph', 'map']"
210704,"{indoor, outdoor, home}","['indoor', 'outdoor', 'home', 'hous', 'build', 'environ', 'symptom', 'ventil', 'school', 'measur']"
210705,"{vulner, social, index}","['vulner', 'social', 'index', 'hazard', 'indic', 'livelihood', 'popul', 'capac', 'communiti', 'assess']"
210708,"{birth, preterm, pregnanc}","['birth', 'preterm', 'pregnanc', 'gestat', 'week', 'weight', 'matern', 'women', 'deliveri', 'infant']"
210709,"{diseas, infecti, cardiovascular}","['diseas', 'infecti', 'cardiovascular', 'respiratori', 'vectorborn', 'burden', 'heart', 'outbreak', 'chronic', 'cerebrovascular']"
210712,"{incid, rate, provinc}","['incid', 'rate', 'provinc', 'annual', 'irr', 'per', 'year', 'increas', 'data', 'popul']"
210714,"{mental, hurrican, ptsd}","['mental', 'hurrican', 'ptsd', 'depress', 'disord', 'sandi', 'symptom', 'health', 'stress', 'posttraumat']"
210716,"{heatwav, definit, excess}","['heatwav', 'definit', 'excess', 'australia', 'impact', 'intens', 'dure', 'warn', 'morbid', 'servic']"
210718,"{water, cholera, drink}","['water', 'cholera', 'drink', 'outbreak', 'rainfal', 'diarrhea', 'suppli', 'sourc', 'contamin', 'sanit']"
210721,"{meteorolog, pressur, wind}","['meteorolog', 'pressur', 'wind', 'speed', 'atmospher', 'humid', 'weather', 'condit', 'relat', 'paramet']"
210722,"{risk, relat, percept}","['risk', 'relat', 'percept', 'increas', 'high', 'higher', 'map', 'assess', 'hazard', 'identifi']"
210725,"{adapt, strategi, farmer}","['adapt', 'strategi', 'farmer', 'polici', 'capac', 'plan', 'communiti', 'percept', 'local', 'sector']"
210727,"{cold, spell, hot}","['cold', 'spell', 'hot', 'temperatur', 'extrem', 'cvd', 'attribut', 'effect', 'percentil', 'coldrel']"
210728,"{pah, sourc, burn}","['pah', 'sourc', 'burn', 'combust', 'cancer', 'sampl', 'biomass', 'hydrocarbon', 'aromat', 'polycycl']"
210731,"{temperatur, degre, ambient}","['temperatur', 'degre', 'ambient', 'daili', 'increas', 'mean', 'high', 'maximum', 'minimum', 'effect']"
210732,"{dtr, diurnal, rang}","['dtr', 'diurnal', 'rang', 'effect', 'china', 'elder', 'childhood', 'nonaccident', 'increas', 'degre']"
210735,"{scenario, rcp, project}","['scenario', 'rcp', 'project', 'futur', 'increas', 'pathway', 'global', 'popul', 'simul', 'warm']"
210736,"{injuri, worker, occup}","['injuri', 'worker', 'occup', 'traffic', 'accid', 'road', 'work', 'claim', 'trauma', 'safeti']"
210688,"{pollut, air, qualiti}","['pollut', 'air', 'qualiti', 'dioxid', 'level', 'effect', 'nitrogen', 'particul', 'matter', 'china']"
210692,"{asthma, children, exacerb}","['asthma', 'children', 'exacerb', 'childhood', 'symptom', 'allerg', 'rhiniti', 'respiratori', 'associ', 'allergi']"
210698,"{mosquito, vector, transmiss}","['mosquito', 'vector', 'transmiss', 'abund', 'aed', 'aegypti', 'albopictus', 'speci', 'virus', 'popul']"
210706,"{season, winter, summer}","['season', 'winter', 'summer', 'variat', 'dure', 'pattern', 'peak', 'spring', 'dri', 'autumn']"
210711,"{visit, emerg, outpati}","['visit', 'emerg', 'outpati', 'depart', 'respiratori', 'room', 'increas', 'daili', 'associ', 'hospit']"
210720,"{fire, wildfir, smoke}","['fire', 'wildfir', 'smoke', 'burn', 'forest', 'qualiti', 'biomass', 'respiratori', 'impact', 'air']"
210729,"{spore, fungal, airborn}","['spore', 'fungal', 'airborn', 'concentr', 'allergen', 'type', 'sampl', 'trap', 'abund', 'total']"
210734,"{infect, rsv, respiratori}","['infect', 'rsv', 'respiratori', 'virus', 'children', 'syncyti', 'rate', 'tract', 'viral', 'detect']"
